0729 18:00:43: {, F} heelo
0730 20:34:44: {main, T} [Trace]Program Start....
0730 20:34:45: {main, T} [Trace]Program Start....
0730 20:34:46: {main, T} [Trace]Program Start....
0730 20:34:47: {main, T} [Trace]Program Start....
0730 20:34:48: {main, T} [Trace]Program Start....
0730 20:34:49: {main, T} [Trace]Program Start....
0730 20:34:50: {main, T} [Trace]Program Start....
0730 20:34:51: {main, T} [Trace]Program Start....
0730 20:34:52: {main, T} [Trace]Program Start....
0730 20:34:53: {main, T} [Trace]Program Start....
0730 20:34:54: {main, T} [Trace]Program Start....
0730 20:34:55: {main, T} [Trace]Program Start....
0730 20:34:56: {main, T} [Trace]Program Start....
0730 20:34:57: {main, T} [Trace]Program Start....
0730 20:34:58: {main, T} [Trace]Program Start....
0730 20:34:59: {main, T} [Trace]Program Start....
0730 20:35:00: {main, T} [Trace]Program Start....
0730 20:35:01: {main, T} [Trace]Program Start....
0730 20:35:02: {main, T} [Trace]Program Start....
0730 20:35:03: {main, T} [Trace]Program Start....
0730 20:35:04: {main, T} [Trace]Program Start....
0730 20:35:05: {main, T} [Trace]Program Start....
0730 20:35:06: {main, T} [Trace]Program Start....
0730 20:35:07: {main, T} [Trace]Program Start....
0730 20:35:08: {main, T} [Trace]Program Start....
0730 20:35:09: {main, T} [Trace]Program Start....
0730 20:35:10: {main, T} [Trace]Program Start....
0730 20:35:11: {main, T} [Trace]Program Start....
0730 20:35:12: {main, T} [Trace]Program Start....
0730 20:35:13: {main, T} [Trace]Program Start....
0730 20:35:14: {main, T} [Trace]Program Start....
0730 20:35:15: {main, T} [Trace]Program Start....
0730 20:35:16: {main, T} [Trace]Program Start....
0730 20:35:48: {main, T} [Trace]Program Start....
0730 20:35:49: {main, T} [Trace]Program Start....
0730 20:35:50: {main, T} [Trace]Program Start....
0730 20:35:51: {main, T} [Trace]Program Start....
0730 20:35:52: {main, T} [Trace]Program Start....
0730 20:35:53: {main, T} [Trace]Program Start....
0730 20:35:54: {main, T} [Trace]Program Start....
0730 20:35:55: {main, T} [Trace]Program Start....
0730 20:35:56: {main, T} [Trace]Program Start....
0730 20:35:57: {main, T} [Trace]Program Start....
0730 20:35:58: {main, T} [Trace]Program Start....
0730 20:35:59: {main, T} [Trace]Program Start....
0730 20:36:00: {main, T} [Trace]Program Start....
0730 20:36:01: {main, T} [Trace]Program Start....
0730 20:36:02: {main, T} [Trace]Program Start....
0730 20:36:03: {main, T} [Trace]Program Start....
0730 20:36:04: {main, T} [Trace]Program Start....
0730 20:36:05: {main, T} [Trace]Program Start....
0730 20:36:06: {main, T} [Trace]Program Start....
0730 20:36:07: {main, T} [Trace]Program Start....
0730 20:36:08: {main, T} [Trace]Program Start....
0730 20:37:30: {main, T} [Trace]Program Start....
0730 20:37:31: {main, T} [Trace]Program Start....
0730 20:37:32: {main, T} [Trace]Program Start....
0730 20:37:33: {main, T} [Trace]Program Start....
0730 20:37:34: {main, T} [Trace]Program Start....
0730 20:37:35: {main, T} [Trace]Program Start....
0730 20:37:36: {main, T} [Trace]Program Start....
0730 20:37:37: {main, T} [Trace]Program Start....
0730 20:37:38: {main, T} [Trace]Program Start....
0730 20:37:39: {main, T} [Trace]Program Start....
0730 20:37:40: {main, T} [Trace]Program Start....
0730 20:37:41: {main, T} [Trace]Program Start....
0730 20:37:42: {main, T} [Trace]Program Start....
0730 20:37:43: {main, T} [Trace]Program Start....
0730 20:37:44: {main, T} [Trace]Program Start....
0730 20:37:45: {main, T} [Trace]Program Start....
0730 20:37:46: {main, T} [Trace]Program Start....
0730 20:38:11: {main, T} [Trace]Program Start....
0730 20:38:12: {main, T} [Trace]Program Start....
0730 20:38:13: {main, T} [Trace]Program Start....
0730 20:38:14: {main, T} [Trace]Program Start....
0730 20:38:15: {main, T} [Trace]Program Start....
0730 20:38:16: {main, T} [Trace]Program Start....
0730 20:38:17: {main, T} [Trace]Program Start....
0730 20:38:18: {main, T} [Trace]Program Start....
0730 20:38:19: {main, T} [Trace]Program Start....
0730 20:38:20: {main, T} [Trace]Program Start....
0730 20:38:21: {main, T} [Trace]Program Start....
0730 20:38:22: {main, T} [Trace]Program Start....
0730 20:38:23: {main, T} [Trace]Program Start....
0730 20:38:24: {main, T} [Trace]Program Start....
0730 20:38:25: {main, T} [Trace]Program Start....
0730 20:38:26: {main, T} [Trace]Program Start....
0730 20:38:27: {main, T} [Trace]Program Start....
0730 20:38:28: {main, T} [Trace]Program Start....
0730 20:38:29: {main, T} [Trace]Program Start....
0730 20:38:48: {main, T} [Trace]Program Start....
0730 20:38:49: {main, T} [Trace]Program Start....
0730 20:38:50: {main, T} [Trace]Program Start....
0730 20:38:51: {main, T} [Trace]Program Start....
0730 20:38:52: {main, T} [Trace]Program Start....
0730 20:38:53: {main, T} [Trace]Program Start....
0730 20:38:54: {main, T} [Trace]Program Start....
0730 20:38:55: {main, T} [Trace]Program Start....
0730 20:38:56: {main, T} [Trace]Program Start....
0730 20:38:57: {main, T} [Trace]Program Start....
0730 20:38:58: {main, T} [Trace]Program Start....
0730 20:38:59: {main, T} [Trace]Program Start....
0730 20:39:00: {main, T} [Trace]Program Start....
0730 20:39:01: {main, T} [Trace]Program Start....
0730 20:39:02: {main, T} [Trace]Program Start....
0730 20:39:03: {main, T} [Trace]Program Start....
0730 20:39:04: {main, T} [Trace]Program Start....
0730 20:39:05: {main, T} [Trace]Program Start....
0730 20:39:06: {main, T} [Trace]Program Start....
0730 20:39:07: {main, T} [Trace]Program Start....
0730 20:39:08: {main, T} [Trace]Program Start....
0730 20:39:09: {main, T} [Trace]Program Start....
0730 20:39:10: {main, T} [Trace]Program Start....
0730 20:39:11: {main, T} [Trace]Program Start....
0730 20:39:12: {main, T} [Trace]Program Start....
0730 20:39:13: {main, T} [Trace]Program Start....
0730 20:39:14: {main, T} [Trace]Program Start....
0730 20:39:15: {main, T} [Trace]Program Start....
0730 20:39:16: {main, T} [Trace]Program Start....
0730 20:39:17: {main, T} [Trace]Program Start....
